REF_DATE,GEO,DGUID,Type of employees,Overtime,North American Industry Classification System (NAICS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2007-04-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,781.59,,,,2
2007-05-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,784.87,,,,2
2007-06-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,792.86,,,,2
2007-07-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,788.24,,,,2
2007-08-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,784.17,,,,2
2007-09-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,790.91,,,,2
2007-10-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,793.64,,,,2
2007-11-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,799.2,,,,2
2007-12-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,799.52,,,,2
2008-01-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,797.57,,,,2
2008-02-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,809.58,,,,2
2008-03-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,808.38,,,,2
2008-04-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,810.41,,,,2
2008-05-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,806.83,,,,2
2008-06-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,811.83,,,,2
2008-07-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,807.34,,,,2
2008-08-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,805.9,,,,2
